
Largest q<=2097120 for which any primitive |L(1)|>C_0 log q + C_1
Note that q which are both prime and =1,5 mod 6 appear in prime column.

q mod 6  : |       0       |       1       |       2       |       3       |       4       |       5       |     Prime
C_0      : |     0.167     |     0.500     |     0.250     |     0.333     |     0.250     |     0.500     |     0.500     
Parity   : |  Odd  |  Even |  Odd  |  Even |  Odd  |  Even |  Odd  |  Even |  Odd  |  Even |  Odd  |  Even |  Odd  |  Even 
C_1=+1.0 : |      0|      0|      0|      0|      0|      0|      0|      0|      0|      0|      0|      0|      0|      0
C_1=+0.9 : |      0|      0|      0|      0|      0|      0|      0|      0|      0|      0|      0|      0|      0|      0
C_1=+0.8 : |      0|      0|      0|      0|      0|      0|    831|      0|      0|      0|      0|      0|      0|      0
C_1=+0.7 : |     24|      0|      0|      0|      0|      0|    831|      0|      0|      0|      0|      0|      0|      0
C_1=+0.6 : |    516|      0|      0|      0|    404|      0|   1119|      0|      0|      0|      0|      0|      0|      0
C_1=+0.5 : |   1704|      0|      0|      0|   1784|      0|   6639|      0|    928|      0|      0|      0|    479|      0
C_1=+0.4 : |  14244|    456|      0|      0|   5444|      0|  14871|      0|   3436|      0|    119|      0|    479|      0
C_1=+0.3 : |  15804|   1572|      0|      0|  14024|      0|  16719|      0|   9616|      0|    671|      0|   1559|      0
C_1=+0.2 : |  78504|  14316|    559|      0|  42836|    248|  50151|   1401|  16684|   1576|   3071|      0|   5711|      0
C_1=+0.1 : | 216564|  65244|   1909|      0| 120056|   3032|  78711|   3081|  44596|   4684|   5759|      0|   6551|      0
C_1=-0.0 : | 587604| 277176|   7123|      0| 326504|  10748| 150279|  11001| 101044|  15304|  10919|      0|  18191|      0
C_1=-0.1 : |2015796| 497676|  15283|      0| 450056|  27656| 285711|  31641| 201748|  88936|  17111|      0|  38639|      0
C_1=-0.2 : |2093424|1741224|  15283|      0|1013624|  77552| 527271|  63561| 437032| 131884|  45239|      0|  38639|      0
C_1=-0.3 : |2097072|2094216|  24403|      0|1666664| 219812| 714999| 106401| 948364| 337276|  45239|      0|  63839|      0
C_1=-0.4 : |2097096|2097096|  50467|    889|1988516| 427208| 893031| 157239|1774636| 736696| 118271|      0| 104711|   1201
C_1=-0.5 : |2097108|2097108|  97099|   2641|2087552|1347212|1985871| 425049|2097076|1833976| 201431|    899| 147671|   2689
C_1=-0.6 : |2097108|2097108| 111313|   6169|2096972|2079632|2034471| 757689|2097076|2034496| 239279|   4853| 366791|   8761
C_1=-0.7 : |2097108|2097108| 206257|  18001|2097104|2096132|2091087|1304241|2097076|2095384| 331679|   9701| 514751|  13729
C_1=-0.8 : |2097120|2097120| 269989|  28681|2097104|2096876|2097033|1866489|2097112|2097064| 890951|  20417| 701399|  53881
C_1=-0.9 : |2097120|2097120| 435697| 117049|2097104|2097104|2097033|2092443|2097112|2097112| 929711|  32741| 819719|  87481
C_1=-1.0 : |2097120|2097120| 708853| 117049|2097116|2097104|2097111|2096949|2097112|2097112|1339439|  53513|1412759|  92569
C_1=-1.1 : |2097120|2097120| 865063| 180049|2097116|2097104|2097117|2097099|2097112|2097112|1661351| 110111|1750271| 185641
C_1=-1.2 : |2097120|2097120|1591633| 328441|2097116|2097116|2097117|2097111|2097112|2097112|2040671| 169577|1884791| 197521
C_1=-1.3 : |2097120|2097120|1783153| 528889|2097116|2097116|2097117|2097117|2097112|2097112|2052839| 266087|2042039| 515761
C_1=-1.4 : |2097120|2097120|2091259| 601129|2097116|2097116|2097117|2097117|2097112|2097112|2078639| 378647|2095061| 601969
C_1=-1.5 : |2097120|2097120|2095603|1267249|2097116|2097116|2097117|2097117|2097112|2097112|2096021| 619877|2095721|1433041
C_1=-1.6 : |2097120|2097120|2095711|1906129|2097116|2097116|2097117|2097117|2097112|2097112|2096573|1032149|2096681|1433041
C_1=-1.7 : |2097120|2097120|2097049|2046529|2097116|2097116|2097117|2097117|2097112|2097112|2096951|1349951|2096947|2043001
C_1=-1.8 : |2097120|2097120|2097103|2092507|2097116|2097116|2097117|2097117|2097112|2097112|2097119|1987409|2097041|2080849
C_1=-1.9 : |2097120|2097120|2097103|2092507|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2096387|2097097|2096993
C_1=-2.0 : |2097120|2097120|2097103|2096833|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2096771|2097097|2097013
C_1=-2.1 : |2097120|2097120|2097103|2097079|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097107|2097097|2097091
C_1=-2.2 : |2097120|2097120|2097103|2097079|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097107|2097097|2097091
C_1=-2.3 : |2097120|2097120|2097103|2097103|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097119|2097097|2097097
C_1=-2.4 : |2097120|2097120|2097109|2097103|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097119|2097097|2097097
C_1=-2.5 : |2097120|2097120|2097109|2097103|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097119|2097097|2097097
C_1=-2.6 : |2097120|2097120|2097109|2097109|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097119|2097097|2097097
C_1=-2.7 : |2097120|2097120|2097115|2097109|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097119|2097097|2097097
C_1=-2.8 : |2097120|2097120|2097115|2097109|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097119|2097097|2097097
C_1=-2.9 : |2097120|2097120|2097115|2097115|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097119|2097097|2097097
C_1=-3.0 : |2097120|2097120|2097115|2097115|2097116|2097116|2097117|2097117|2097112|2097112|2097119|2097119|2097097|2097097
