New biggest  [1.149402348769667515e-01,1.149466178199106264e-01]
At gamma =  [9.940963042588269711e+07,9.940963042592720687e+07]
New biggest  [1.145487359883617662e-01,1.145557020735859660e-01]
At gamma =  [1.018541317733608484e+08,1.018541317734093964e+08]
New biggest  [1.133075591556746142e-01,1.133089086326714706e-01]
At gamma =  [1.042723362699282765e+08,1.042723362699376494e+08]
New biggest  [1.142451043561817370e-01,1.142547000313414163e-01]
At gamma =  [1.073901926137787104e+08,1.073901926138456315e+08]
New biggest  [1.124770534673853323e-01,1.124866386472859470e-01]
At gamma =  [1.082322904959207326e+08,1.082322904959875494e+08]
New biggest  [1.117021809295377505e-01,1.117022999780238612e-01]
At gamma =  [1.109942197657867521e+08,1.109942197657875419e+08]
New biggest  [1.105029884003848467e-01,1.105113144319815471e-01]
At gamma =  [1.120225644127590954e+08,1.120225644128171355e+08]
New biggest  [1.103504230558185056e-01,1.103622838233755538e-01]
At gamma =  [1.147951814871988595e+08,1.147951814872814715e+08]
New biggest  [1.117485267215015399e-01,1.117597272709339451e-01]
At gamma =  [1.163742645286418945e+08,1.163742645287199318e+08]
New biggest  [1.117687050973891483e-01,1.117800704628250097e-01]
At gamma =  [1.198707899032099545e+08,1.198707899032891244e+08]
New biggest  [1.113639954509274277e-01,1.113726428629821935e-01]
At gamma =  [1.209014122063749880e+08,1.209014122064352036e+08]
New biggest  [1.119543079192239637e-01,1.119560897520254367e-01]
At gamma =  [1.235777077217117995e+08,1.235777077217241079e+08]
New biggest  [1.106264538559339344e-01,1.106314571488387077e-01]
At gamma =  [1.250188712509301305e+08,1.250188712509649098e+08]
New biggest  [1.105581319472708074e-01,1.105628363931556307e-01]
At gamma =  [1.273813189085559398e+08,1.273813189085886776e+08]
New biggest  [1.134583230558265932e-01,1.134619387583525041e-01]
At gamma =  [1.292732286614140421e+08,1.292732286614391655e+08]
New biggest  [1.106525928481933430e-01,1.106585515476436327e-01]
At gamma =  [1.316340357226227969e+08,1.316340357226642221e+08]
New biggest  [1.106934598387669250e-01,1.107027518225663920e-01]
At gamma =  [1.337493160859380960e+08,1.337493160860027820e+08]
New biggest  [1.202843523606838549e-01,1.202963823271263194e-01]
At gamma =  [1.353993434270100594e+08,1.353993434270937741e+08]
New biggest  [1.139175529824923011e-01,1.139361707164380927e-01]
At gamma =  [1.373949155501109660e+08,1.373949155502406061e+08]
New biggest  [1.095228206460699821e-01,1.095309446161041866e-01]
At gamma =  [1.404579029049277902e+08,1.404579029049843252e+08]
New biggest  [1.102866566152917727e-01,1.103047743642241174e-01]
At gamma =  [1.416095698932294846e+08,1.416095698933556080e+08]
New biggest  [1.102793807899575818e-01,1.102962293757629164e-01]
At gamma =  [1.444633568416640759e+08,1.444633568417813182e+08]
New biggest  [1.142731561600257850e-01,1.142778929995634241e-01]
At gamma =  [1.460289076826408207e+08,1.460289076826737523e+08]
New biggest  [1.099899206421806330e-01,1.100074711683796252e-01]
At gamma =  [1.483085163024735451e+08,1.483085163025956750e+08]
New biggest  [1.110710601610019749e-01,1.110861269417013353e-01]
At gamma =  [1.506854990991773903e+08,1.506854990992822051e+08]
