Command line:- ../do_t 269059 1000000
2: -8721 165669 186694 269059
2: -12274 162925 -619038 269059
2: -14406 162129 -785536 269059
1: 14739 159201 -564774 269059
1: 15162 153459 297381 269059
1: 19208 156349 -312987 269059
1: 19551 162129 -972230 269059
2: -23324 162925 -746776 269059
2: -34713 191607 886312 269059
1: 36822 136857 707472 269059
2: -40817 194579 766428 269059
1: 42483 136857 472226 269059
2: -42959 189679 491300 269059
1: 43218 128877 992426 269059
2: -45619 160769 -933470 269059
2: -45619 171955 -356592 269059
1: 53067 136857 167042 269059
2: -57624 189525 167042 269059
1: 58378 123823 714119 269059
2: -58956 162129 -866761 269059
2: -59584 204085 560082 269059
2: -60648 214149 793016 269059
2: -61446 165699 -722211 269059
2: -63869 171955 -495292 269059
1: 65246 123823 515865 269059
1: 68782 119491 635579 269059
2: -68782 168587 -635579 269059
1: 69286 123823 417605 269059
1: 70756 156065 -751689 269059
1: 80864 126293 99127 269059
2: -80864 204085 225998 269059
2: -81634 216923 466735 269059
1: 83521 104329 984410 269059
1: 83521 108535 778316 269059
1: 83521 110789 674310 269059
1: 83521 123823 147140 269059
1: 83521 143089 -456190 269059
1: 83521 151949 -682290 269059
1: 83521 159923 -864360 269059
2: -83521 165179 -778316 269059
1: 84474 122451 181781 269059
1: 84721 104329 950810 269059
2: -84966 250563 937517 269059
1: 85407 132651 -171836 269059
2: -88434 233583 644385 269059
2: -88434 245841 816340 269059
2: -88837 228361 560082 269059
1: 91238 104329 783768 269059
1: 91238 123403 49419 269059
1: 91238 154147 -751689 269059
1: 91238 155771 -785213 269059
1: 93347 123823 8568 269059
2: -93347 240737 675906 269059
1: 99127 123823 -60112 269059
2: -102543 250563 677768 269059
1: 104329 101479 623084 269059
2: -104329 172235 -623084 269059
2: -104329 228095 379168 269059
2: -104329 241129 546210 269059
2: -104958 215061 186694 269059
2: -106134 250563 635285 269059
1: 108086 100205 601426 269059
2: -108086 173509 -601426 269059
1: 109956 136857 -466735 269059
1: 110789 123823 -176868 269059
1: 111454 112999 110789 269059
2: -112999 229957 324870 269059
2: -117686 215747 103173 269059
2: -120099 221085 158270 269059
1: 122451 89775 746776 269059
2: -122451 167979 -746776 269059
2: -122451 250563 473632 269059
1: 123823 83521 993482 269059
1: 123823 93347 581196 269059
1: 123823 99127 376856 269059
1: 123823 110789 29478 269059
1: 124852 104329 199121 269059
2: -128877 250563 421204 269059
2: -129654 280041 665380 269059
1: 132651 128625 -429590 269059
2: -132651 280041 638666 269059
1: 133518 136857 -571064 269059
2: -136458 280041 606424 269059
2: -136857 165699 -805732 269059
2: -141659 214795 -39304 269059
1: 143374 99127 126293 269059
1: 148862 93347 222547 269059
1: 149454 92463 240737 269059
2: -149891 169099 -746776 269059
1: 152303 93347 182476 269059
1: 153748 83521 462707 269059
1: 155771 84035 417316 269059
2: -155771 189679 -417316 269059
2: -156349 391685 991270 269059
2: -156408 297381 571064 269059
2: -156408 371469 918731 269059
1: 156674 93347 134113 269059
1: 158466 73695 754851 269059
1: 159201 82365 424830 269059
2: -159201 390507 962948 269059
1: 159562 74039 722211 269059
2: -159562 170863 -722211 269059
1: 160412 83521 371469 269059
1: 162129 136857 -656982 269059
2: -162996 371469 865844 269059
1: 163268 76741 560082 269059
1: 163268 83521 334647 269059
2: -163268 181013 -560082 269059
2: -164388 367353 840123 269059
2: -165669 312987 595340 269059
1: 166782 136857 -668168 269059
1: 167042 80213 389158 269059
1: 167042 99127 -98553 269059
1: 167042 104329 -201684 269059
1: 167042 110789 -316274 269059
1: 167042 123823 -511077 269059
2: -167042 174097 -674044 269059
2: -167042 193501 -389158 269059
2: -167042 194579 -374997 269059
2: -167042 269059 328643 269059
2: -167042 299047 512981 269059
2: -167042 300713 522144 269059
2: -167042 334229 687078 269059
1: 169442 104329 -218484 269059
1: 169932 136857 -675393 269059
1: 171836 83521 231525 269059
1: 171836 98441 -122825 269059
1: 172872 103173 -220932 269059
1: 172872 128877 -594473 269059
1: 174002 71687 584647 269059
2: -176596 319333 560082 269059
1: 176868 103173 -247646 269059
2: -177674 395675 840123 269059
1: 177973 118237 -481474 269059
1: 179284 83521 149891 269059
2: -180234 265335 240737 269059
1: 182476 70805 494190 269059
1: 182476 83521 116945 269059
1: 182476 122825 -555237 269059
