Command line:- ../do_t 1331 256000
2: -2 847 248897 1331
2: -21 1815 234256 1331
4: -36 -219615 246961 1331
3: 38 -161051 -234234 1331
4: -38 -161051 234278 1331
2: -39 8349 204974 1331
3: 42 -43923 -214654 1331
1: 43 161051 -204996 1331
2: -43 161051 204952 1331
2: -46 25289 186340 1331
2: -48 17061 175692 1331
3: 49 -25289 -186340 1331
4: -51 -70785 175692 1331
2: -52 2057 102487 1331
1: 52 14641 -161293 1331
2: -52 14641 160809 1331
3: 53 -224939 -167706 1331
3: 54 -1815 -234256 1331
1: 54 42735 -161051 1331
2: -54 45111 161051 1331
3: 56 -42691 -161051 1331
4: -56 -45155 161051 1331
3: 58 -14641 -160809 1331
4: -58 -14641 161293 1331
4: -61 -99583 146410 1331
1: 66 351 161051 1331
2: -66 375 -161051 1331
3: 67 -248897 -132616 1331
3: 68 -847 -248897 1331
3: 68 -66671 -131769 1331
3: 76 -161051 -117106 1331
4: -76 -161051 117150 1331
1: 81 43923 -107448 1331
1: 84 27225 -102487 1331
4: -84 -43923 107448 1331
2: -86 46585 101156 1331
1: 86 161051 -102509 1331
2: -86 161051 102465 1331
3: 89 -46585 -101156 1331
1: 91 49247 -95832 1331
1: 93 9801 -87846 1331
4: -94 -49247 95832 1331
2: -96 179685 91839 1331
4: -103 -39083 87846 1331
2: -116 20449 73205 1331
3: 118 -2057 -102487 1331
1: 136 7381 -58564 1331
2: -136 73205 64372 1331
3: 139 -73205 -64372 1331
1: 152 41261 -57233 1331
3: 152 -161051 -58542 1331
4: -152 -161051 58586 1331
4: -158 -41261 57233 1331
2: -162 43923 53603 1331
3: 168 -43923 -53603 1331
4: -169 -7381 58564 1331
1: 172 4961 -43923 1331
3: 176 -331 -161051 1331
4: -176 -395 161051 1331
2: -191 102487 45980 1331
3: 194 -102487 -45980 1331
1: 212 57233 -41261 1331
4: -218 -57233 41261 1331
2: -236 126445 37268 1331
4: -238 -4961 43923 1331
3: 239 -126445 -37268 1331
1: 246 131769 -35816 1331
4: -249 -131769 35816 1331
