Command line:- ./do_t 1573 64000
1: 22 845 59895 1573
2: -38 845 -43923 1573
2: -39 1089 37752 1573
1: 46 1183 -58564 1573
2: -52 847 -33033 1573
2: -52 1183 43923 1573
2: -66 819 -34606 1573
1: 104 1331 -38324 1573
2: -104 1331 30888 1573
1: 104 1859 -61226 1573
2: -104 1859 55902 1573
1: 117 1815 -53482 1573
2: -143 845 -15972 1573
2: -143 1183 13310 1573
1: 156 507 58564 1573
2: -162 5577 62557 1573
1: 166 4961 -61347 1573
1: 169 1331 -25014 1573
2: -169 1331 17578 1573
1: 169 1573 -32428 1573
2: -169 1573 26136 1573
1: 169 3707 -55902 1573
2: -169 4279 55902 1573
1: 169 4381 -58564 1573
2: -169 5057 58564 1573
1: 182 605 29887 1573
2: -182 2873 43923 1573
1: 182 3685 -51909 1573
2: -182 4301 51909 1573
2: -183 7605 58564 1573
1: 192 61347 -63525 1573
2: -198 2535 37268 1573
1: 198 5109 -51909 1573
2: -198 6045 51909 1573
3: 198 -43923 -63713 1573
2: -202 6721 51909 1573
1: 208 1331 -21021 1573
2: -208 1331 13585 1573
1: 208 1859 -31944 1573
2: -208 1859 26620 1573
1: 208 40051 -58201 1573
2: -208 47795 58201 1573
1: 208 55939 -58564 1573
3: 221 -20449 -58322 1573
4: -221 -20449 58806 1573
2: -222 43923 54418 1573
3: 228 -5577 -62557 1573
2: -231 507 -55902 1573
2: -234 627 -34606 1573
1: 234 3993 -41613 1573
4: -234 -9633 58564 1573
2: -234 27951 50908 1573
4: -234 -43923 54119 1573
3: 234 -61347 -53603 1573
1: 236 5239 -43923 1573
1: 242 455 44044 1573
2: -242 559 -44044 1573
1: 242 845 121 1573
1: 242 1183 -14520 1573
1: 242 5915 -43802 1573
3: 242 -5915 -58443 1573
2: -242 7267 43802 1573
4: -242 -7267 58443 1573
1: 242 14641 -48165 1573
2: -242 14641 47489 1573
3: 242 -14641 -54080 1573
4: -242 -14641 54756 1573
4: -244 -4961 61347 1573
2: -246 50193 49247 1573
3: 252 -27885 -50578 1573
3: 253 -14641 -51714 1573
4: -253 -14641 52390 1573
1: 264 507 30613 1573
1: 264 43923 -45968 1573
3: 268 -6721 -51909 1573
1: 273 507 29282 1573
1: 273 3531 -34606 1573
2: -273 4455 34606 1573
2: -274 38701 43923 1573
1: 276 16731 -42592 1573
1: 283 14641 -41236 1573
2: -283 14641 40560 1573
1: 286 4901 -35937 1573
3: 286 -4901 -50578 1573
2: -286 6253 35937 1573
4: -286 -6253 50578 1573
1: 286 14641 -40807 1573
2: -286 14641 40131 1573
3: 286 -14641 -45708 1573
4: -286 -14641 46384 1573
1: 292 9295 -38599 1573
1: 294 29403 -40898 1573
1: 297 4875 -34606 1573
2: -297 6279 34606 1573
3: 299 -14641 -43706 1573
4: -299 -14641 44382 1573
3: 308 -14641 -42419 1573
4: -308 -14641 43095 1573
4: -309 -16731 42592 1573
3: 311 -29161 -40898 1573
2: -312 507 -43923 1573
3: 312 -5445 -45617 1573
3: 312 -7605 -43923 1573
2: -312 43923 38688 1573
2: -312 61347 38962 1573
3: 317 -35321 -39930 1573
3: 322 -14641 -40560 1573
