worst seen for q=3 was 1.108041065406615733e+00 at a=4 x=33331
worst seen for q=5 was 8.218900130967045081e-01 at a=16 x=516380341
worst seen for q=7 was 7.441318682386639516e-01 at a=8 x=90607427
worst seen for q=11 was 7.114326193649568308e-01 at a=7 x=7
worst seen for q=13 was 7.185249597093024132e-01 at a=7 x=7
worst seen for q=17 was 7.257578771320846167e-01 at a=7 x=7
worst seen for q=19 was 7.277487890663651982e-01 at a=7 x=7
worst seen for q=23 was 7.302561464792503010e-01 at a=7 x=7
worst seen for q=29 was 7.322265895885051723e-01 at a=7 x=7
worst seen for q=31 was 7.326400101281334010e-01 at a=7 x=7
worst seen for q=37 was 7.334986042279170171e-01 at a=7 x=7
worst seen for q=41 was 7.338716410164469739e-01 at a=7 x=7
worst seen for q=43 was 7.340199254334434098e-01 at a=7 x=7
worst seen for q=47 was 7.342611522482489494e-01 at a=7 x=7
worst seen for q=53 was 7.345249071637326432e-01 at a=7 x=7
worst seen for q=59 was 7.347117446565086807e-01 at a=7 x=7
worst seen for q=61 was 7.347620211391229228e-01 at a=7 x=7
worst seen for q=67 was 7.348865884725398478e-01 at a=7 x=7
worst seen for q=71 was 7.349525596828164753e-01 at a=7 x=7
worst seen for q=73 was 7.349815266687107496e-01 at a=7 x=7
worst seen for q=79 was 7.350555383324746117e-01 at a=7 x=7
worst seen for q=83 was 7.350961659400222503e-01 at a=7 x=7
worst seen for q=89 was 7.351470910243967927e-01 at a=7 x=7
worst seen for q=97 was 7.352007812327484571e-01 at a=7 x=7
