                                            GP/PARI CALCULATOR Version 2.7.5 (released)
                                    amd64 running linux (x86-64/GMP-6.0.0 kernel) 64-bit version
                            compiled: Nov 10 2015, gcc version 5.2.1 20151028 (Ubuntu 5.2.1-23ubuntu1) 
                                                     threading engine: pthread
                                           (readline v6.3 enabled, extended help enabled)

                                               Copyright (C) 2000-2015 The PARI Group

PARI/GP is free software, covered by the GNU General Public License, and comes WITHOUT ANY WARRANTY WHATSOEVER.

Type ? for help, \q to quit.
Type ?12 for how to get moral (and possibly technical) support.

parisize = 8000000, primelimit = 500000
   realprecision = 115 significant digits (100 digits displayed)
1000001.296363293201585033215231299910902536052529909528499395743704722529162848066107817961275094548 + 0.07319025845630679629415710972230360923456032772759556401266007125139706386900750069323862197749172816*I
1000003.671792150008081895362911860731774505880281961907441079229588905558908519968652924892565967033 + 0.02593380548435842580188668188947595075212769078636191626558386867694840123046860802433719623930820051*I
1000004.797385980485823314810447226726327029266080026496139192679729791404438977402317505455465964858 + 0.05905475873042892262420445670106416016644429888269888273895351715958881675687861768107508000867773433*I
1000005.897078530273833634068541232183175287165143331840235829892930787063640716244819859780870940070 + 0.03394944925246035242265403828196106173282676210492290913797660031020086731062703662372709755591536409*I
1000006.671345631784646724544593774653588002057903681925486223645210888071694391754561425541861531397 + 0.04169506575319566036103607795607755957729281567203320072993178997421515389404678168760945323511009780*I
1000009.417363377140945358494595797776695026589488759559482229206598155082442699524858121776722677549 + 0.05948206048575492471765492893344839067988753260398675625987448810034488949248880684397336377882665610*I
1000014.019416889878505910923208692744191072613324425910334469743005730116206065556784454382136261924 + 0.05448932930436628039284091768552473334553806162717276878416381166273989731445560348779128819997660070*I
1000016.789867372163317924761928650380267857598607126975643070756232978956452468733509472288223832210 + 0.04220274553266450442609784414228188328084035559087016403540786322011984014588394280813963074755908561*I
1000018.663293500729518678166029334496349682222043610651057357631314083646391372135895569720957893619 + 0.05862412761914340336867126475639312006553195537703492881493072389783209104265880512775233069464908996*I
1000022.156897505338798747498282305633915250826443862791816128702302669701960162972541952421302476157 + 0.05722079631063236911694887794611737642980994981236863658570418873150690875387087697743046082559320162*I
1000026.750730301799231511799456553040735316750140333921602531427865586286770035692535165461511307210 + 0.06135996764054788551720591692899702483984364622441009728744846395826548608285476585972811362592932594*I
1000029.496136019729932090517196361587260914818822998065677179140369897019475837564065362136962997422 + 0.04807244459079236047022718078191357829271625056686290313355630400350129884630244070842751499013949826*I
1000034.121380602224596938797383067961329250631119504815239816287965356505953575884865971454409527626 + 0.04273226394215317340440770363072821187913887071129443067572193303740894566088540496521333885813028917*I
1000038.761693926057391082749771188203153525705519159065622533059875553478435014484481369449874077892 + 0.04093043483200274551705595245524947461208891635999594770377110609390695240680841857837078083909208556*I
1000039.512419988392872018729954505827042208737957731774199011186836897885784068467489011997506514535 + 0.04380923790522896913006939718049550714830820056366506979302712127178359058351925097130371631282142463*I
1000044.116268945653846017889609672285324849289845258585491695445124488867858703561575899517837222697 + 0.06425462580298377206534470957233378085282067530510985328776241891818419464972116244797914385572938322*I
1000045.819409858191532338385510156650553545677756434112219344029111463955736961051972047516691661471 + 0.04192771764609960492466402654348731539193824985998828393014314820224158899112463973483827562056699597*I
1000046.858196367082274524506967461420729387650955537092611728714019946542658188203838476217947238114 + 0.04928911508132352558223088598280753850371760556598183771558706366452680992646047298101995980337877876*I
1000046.858196367082274524506967461420729387650955537092611728714019946542658188203838476217947238114 + 0.04928911508132352558223088598280753850371760556598183771558706366452680992646047298101995980337877876*I
1000048.716452685750733912847122110605253461365321430135489740401441190055289781390929993969804874300 + 0.05092670192822960297238690118043386987929863078317401028630683376768048064681550494542737022886911836*I
1000051.475552784629232559850810225112704266243500400358721755940781896124507859963125480245422121108 + 0.05718652829749968357387435610620060162299978575094670467923040559374748822601172775237383023433627552*I
1000056.836599519475938258213652109452359933008023913925551389976838037174457122870113407810758738521 + 0.05546315960911852429391454596050301820954588652089770727476988580578888554790408272860159031336031087*I
1000063.184158645949084772182135830270292761511535781962504163520322766515800459722629505044916529182 + 0.04905380419307563594017378056097023714003610267770735745424705987708176601650891750812860689509494124*I
1000064.209965776807386606624387418309332565425105119455564477820302965383361142262040160903227435692 + 0.05153105924733901651794688108382730222654039235153272458574513924740427311035259190661219686130109030*I
1000068.831768724548106309944818065357415987822110827035357282879372361195082522376826832487118858950 + 0.06934864407476005668006924017883129934425524055643519313594202648706816931956077027643132491588500282*I
1000069.561466369301599629763871736243524646096696331409940938839878557925962743941043566294598883766 + 0.05383414705721903998915623318179959682248266349024967381801858503366371576978189173700482662592258934*I
